countryCode,countryES,countryEN,countryFR,countryPT,institutionName,descriptionES,descriptionEN,descriptionFR,descriptionPT,logo,website,region,active
US,Estados Unidos,United States,États-Unis,Estados Unidos,Texas International Education Consortium (TIEC),El Texas International Education Consortium (TIEC) promueve la cooperación internacional y conecta instituciones de educación superior de Texas con socios académicos de todo el mundo.,The Texas International Education Consortium (TIEC) promotes international cooperation and connects Texas higher education institutions with academic partners around the world.,Le Texas International Education Consortium (TIEC) favorise la coopération internationale et met en relation les établissements d’enseignement supérieur du Texas avec des partenaires universitaires du monde entier.,O Texas International Education Consortium (TIEC) promove a cooperação internacional e conecta instituições de ensino superior do Texas a parceiros acadêmicos de todo o mundo.,,,North America,TRUE
US,Estados Unidos,United States,États-Unis,Estados Unidos,The Inter-American Distance Education Consortium (CREAD),El Consorcio Interamericano de Educación a Distancia (CREAD) promueve la cooperación y el intercambio de conocimientos relacionados con la educación a distancia y el aprendizaje mediado por tecnologías en las Américas.,The Inter-American Distance Education Consortium (CREAD) promotes cooperation and knowledge exchange related to distance education and technology-mediated learning across the Americas.,Le Consortium interaméricain d’éducation à distance (CREAD) favorise la coopération et l’échange de connaissances dans les domaines de l’enseignement à distance et de l’apprentissage médiatisé par les technologies dans les Amériques.,O Consórcio Interamericano de Educação a Distância (CREAD) promove a cooperação e o intercâmbio de conhecimentos relacionados à educação a distância e à aprendizagem mediada por tecnologias nas Américas.,,,North America,TRUE
US,Estados Unidos,United States,États-Unis,Estados Unidos,LASPAU Academic and Professional Programs for the Americas,LASPAU impulsa el desarrollo del talento y el fortalecimiento institucional mediante programas y alianzas educativas con impacto en las Américas.,LASPAU advances talent development and institutional capacity through educational programs and partnerships with impact across the Americas.,LASPAU favorise le développement des talents et le renforcement institutionnel grâce à des programmes et des partenariats éducatifs ayant un impact dans les Amériques.,A LASPAU promove o desenvolvimento de talentos e o fortalecimento institucional por meio de programas e parcerias educacionais com impacto nas Américas.,,,North America,TRUE
US,Estados Unidos,United States,États-Unis,Estados Unidos,Western Interstate Commission for Higher Education (WICHE),"La Western Interstate Commission for Higher Education (WICHE) promueve la colaboración entre estados e instituciones para ampliar el acceso, mejorar la calidad y fortalecer la educación superior en el oeste de Estados Unidos.","The Western Interstate Commission for Higher Education (WICHE) promotes collaboration among states and institutions to expand access, improve quality and strengthen higher education in the western United States.","La Western Interstate Commission for Higher Education (WICHE) favorise la collaboration entre les États et les établissements afin d’élargir l’accès, d’améliorer la qualité et de renforcer l’enseignement supérieur dans l’ouest des États-Unis.","A Western Interstate Commission for Higher Education (WICHE) promove a colaboração entre estados e instituições para ampliar o acesso, melhorar a qualidade e fortalecer o ensino superior no oeste dos Estados Unidos.",,,North America,TRUE
MX,México,Mexico,Mexique,México,Alianza para la Educación Superior (ALPES),"La Alianza para la Educación Superior (ALPES) promueve la colaboración entre instituciones de educación superior en México, impulsando iniciativas orientadas al fortalecimiento académico, la cooperación y el desarrollo del sector educativo.","The Alliance for Higher Education (ALPES) promotes collaboration among higher education institutions in Mexico, supporting initiatives aimed at academic strengthening, cooperation and the development of the education sector.","L’Alliance pour l’enseignement supérieur (ALPES) favorise la collaboration entre les établissements d’enseignement supérieur au Mexique et soutient des initiatives visant le renforcement académique, la coopération et le développement du secteur éducatif.","A Aliança para a Educação Superior (ALPES) promove a colaboração entre instituições de ensino superior no México, apoiando iniciativas voltadas ao fortalecimento acadêmico, à cooperação e ao desenvolvimento do setor educacional.",,,North America,TRUE
MX,México,Mexico,Mexique,México,"Comisión Estatal para la Planeación de la Educación Superior A.C., de Guanajuato (COEPES)",La Comisión Estatal para la Planeación de la Educación Superior de Guanajuato (COEPES) fomenta la coordinación y colaboración entre instituciones para contribuir a la planeación y fortalecimiento de la educación superior en el estado de Guanajuato.,The State Commission for Higher Education Planning of Guanajuato (COEPES) promotes coordination and collaboration among institutions to contribute to the planning and strengthening of higher education in the state of Guanajuato.,La Commission d’État pour la planification de l’enseignement supérieur de Guanajuato (COEPES) favorise la coordination et la collaboration entre les établissements afin de contribuer à la planification et au renforcement de l’enseignement supérieur dans l’État de Guanajuato.,A Comissão Estadual para o Planejamento da Educação Superior de Guanajuato (COEPES) promove a coordenação e a colaboração entre instituições para contribuir com o planejamento e o fortalecimento do ensino superior no estado de Guanajuato.,,,North America,TRUE
MX,México,Mexico,Mexique,México,Consorcio de Universidades Mexicanas A.C. (CUMex),"El Consorcio de Universidades Mexicanas (CUMex) reúne instituciones de educación superior mexicanas y promueve la colaboración académica, la calidad, la movilidad y el desarrollo de proyectos conjuntos.","The Consortium of Mexican Universities (CUMex) brings together Mexican higher education institutions and promotes academic collaboration, quality, mobility and the development of joint projects.","Le Consortium des universités mexicaines (CUMex) regroupe des établissements mexicains d’enseignement supérieur et favorise la collaboration académique, la qualité, la mobilité et le développement de projets communs.","O Consórcio de Universidades Mexicanas (CUMex) reúne instituições mexicanas de ensino superior e promove a colaboração acadêmica, a qualidade, a mobilidade e o desenvolvimento de projetos conjuntos.",,,North America,TRUE
CR,Costa Rica,Costa Rica,Costa Rica,Costa Rica,globalEdu,"globalEdu forma parte del ecosistema de educación superior de Costa Rica y participa en iniciativas de colaboración, innovación e internacionalización vinculadas al desarrollo educativo.","globalEdu is part of Costa Rica’s higher education ecosystem and participates in collaboration, innovation and internationalization initiatives related to educational development.","globalEdu fait partie de l’écosystème de l’enseignement supérieur du Costa Rica et participe à des initiatives de collaboration, d’innovation et d’internationalisation liées au développement de l’éducation.","A globalEdu faz parte do ecossistema de ensino superior da Costa Rica e participa de iniciativas de colaboração, inovação e internacionalização relacionadas ao desenvolvimento educacional.",,,Central America,TRUE
CR,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Asociación Unidad de Rectores de las Universidades Privadas de Costa Rica (UNIRE),"La Asociación Unidad de Rectores de las Universidades Privadas de Costa Rica (UNIRE) reúne a universidades privadas del país y promueve la cooperación, la calidad y el fortalecimiento de la educación superior privada costarricense.","The Association of Rectors of Private Universities of Costa Rica (UNIRE) brings together private universities in the country and promotes cooperation, quality and the strengthening of Costa Rican private higher education.","L’Association des recteurs des universités privées du Costa Rica (UNIRE) regroupe des universités privées du pays et favorise la coopération, la qualité et le renforcement de l’enseignement supérieur privé costaricien.","A Associação de Reitores das Universidades Privadas da Costa Rica (UNIRE) reúne universidades privadas do país e promove a cooperação, a qualidade e o fortalecimento do ensino superior privado costarriquenho.",,,Central America,TRUE
VE,Venezuela,Venezuela,Venezuela,Venezuela,Asociación Latinoamericana de Escuelas de Urbanismo y Planeación,"La Asociación Latinoamericana de Escuelas de Urbanismo y Planeación promueve la cooperación académica, el intercambio de conocimientos y el fortalecimiento de la formación y la investigación en urbanismo y planificación en América Latina.","The Latin American Association of Schools of Urbanism and Planning promotes academic cooperation, knowledge exchange, and the strengthening of education and research in urbanism and planning in Latin America.","L’Association latino-américaine des écoles d’urbanisme et de planification favorise la coopération académique, l’échange de connaissances et le renforcement de la formation et de la recherche en urbanisme et planification en Amérique latine.","A Associação Latino-Americana de Escolas de Urbanismo e Planejamento promove a cooperação acadêmica, o intercâmbio de conhecimentos e o fortalecimento da formação e da pesquisa em urbanismo e planejamento na América Latina.",,,South America,TRUE
VE,Venezuela,Venezuela,Venezuela,Venezuela,Asociación Venezolana de Rectores Universitarios,La Asociación Venezolana de Rectores Universitarios reúne a autoridades universitarias venezolanas y promueve la cooperación institucional y el fortalecimiento de la educación superior en el país.,The Venezuelan Association of University Rectors brings together Venezuelan university authorities and promotes institutional cooperation and the strengthening of higher education in the country.,L’Association vénézuélienne des recteurs d’université réunit des responsables universitaires vénézuéliens et favorise la coopération institutionnelle ainsi que le renforcement de l’enseignement supérieur dans le pays.,A Associação Venezuelana de Reitores Universitários reúne autoridades universitárias venezuelanas e promove a cooperação institucional e o fortalecimento do ensino superior no país.,,,South America,TRUE
VE,Venezuela,Venezuela,Venezuela,Venezuela,Consejo Nacional de Universidades,"El Consejo Nacional de Universidades participa en la coordinación y el desarrollo del sistema de educación universitaria de Venezuela, contribuyendo a la articulación de políticas y acciones para el sector.","The National Council of Universities participates in the coordination and development of Venezuela’s university education system, contributing to the articulation of policies and actions for the sector.","Le Conseil national des universités participe à la coordination et au développement du système d’enseignement universitaire du Venezuela, en contribuant à l’articulation des politiques et des actions du secteur.","O Conselho Nacional de Universidades participa da coordenação e do desenvolvimento do sistema de educação universitária da Venezuela, contribuindo para a articulação de políticas e ações para o setor.",,,South America,TRUE
VE,Venezuela,Venezuela,Venezuela,Venezuela,Fundación para el Desarrollo de la Ciencia y la Tecnología de la Región Guayana,"La Fundación para el Desarrollo de la Ciencia y la Tecnología de la Región Guayana impulsa iniciativas relacionadas con la ciencia, la tecnología, la innovación y el desarrollo de capacidades en la región Guayana de Venezuela.","The Foundation for the Development of Science and Technology in the Guayana Region promotes initiatives related to science, technology, innovation, and capacity development in Venezuela’s Guayana region.","La Fondation pour le développement de la science et de la technologie de la région de Guayana soutient des initiatives liées à la science, à la technologie, à l’innovation et au développement des capacités dans la région de Guayana au Venezuela.","A Fundação para o Desenvolvimento da Ciência e Tecnologia da Região de Guayana promove iniciativas relacionadas à ciência, tecnologia, inovação e desenvolvimento de capacidades na região de Guayana, na Venezuela.",,,South America,TRUE
CO,Colombia,Colombia,Colombie,Colômbia,"ACIET - Asociación Colombiana de Instituciones de Educación Superior con Formación Técnica Profesional, Tecnológica o Universitaria","ACIET reúne instituciones colombianas de educación superior y promueve el fortalecimiento de la formación técnica profesional, tecnológica y universitaria, así como la cooperación y la calidad educativa.","ACIET brings together Colombian higher education institutions and promotes the strengthening of professional technical, technological and university education, as well as cooperation and educational quality.","ACIET regroupe des établissements colombiens d’enseignement supérieur et favorise le renforcement de la formation technique professionnelle, technologique et universitaire, ainsi que la coopération et la qualité de l’éducation.","A ACIET reúne instituições colombianas de ensino superior e promove o fortalecimento da formação técnica profissional, tecnológica e universitária, bem como a cooperação e a qualidade educacional.",,,South America,TRUE
CO,Colombia,Colombia,Colombie,Colômbia,AIUP - Asociación de Instituciones Universitarias Públicas y Privadas,"La AIUP reúne instituciones universitarias públicas y privadas y fomenta la cooperación interinstitucional, el intercambio académico y el fortalecimiento de la educación superior.","AIUP brings together public and private university institutions and fosters interinstitutional cooperation, academic exchange, and the strengthening of higher education.","L’AIUP regroupe des établissements universitaires publics et privés et favorise la coopération interinstitutionnelle, les échanges académiques et le renforcement de l’enseignement supérieur.","A AIUP reúne instituições universitárias públicas e privadas e promove a cooperação interinstitucional, o intercâmbio acadêmico e o fortalecimento do ensino superior.",,,South America,TRUE
CO,Colombia,Colombia,Colombie,Colômbia,AUALCPI - Asociación de Universidades de América Latina y del Caribe para la Integración,"AUALCPI promueve la integración y la cooperación entre universidades de América Latina y el Caribe mediante iniciativas académicas, institucionales y de intercambio regional.","AUALCPI promotes integration and cooperation among universities in Latin America and the Caribbean through academic, institutional, and regional exchange initiatives.","L’AUALCPI favorise l’intégration et la coopération entre les universités d’Amérique latine et des Caraïbes au moyen d’initiatives académiques, institutionnelles et d’échanges régionaux.","A AUALCPI promove a integração e a cooperação entre universidades da América Latina e do Caribe por meio de iniciativas acadêmicas, institucionais e de intercâmbio regional.",,,South America,TRUE
CO,Colombia,Colombia,Colombie,Colômbia,FODESEP - Fondo de Desarrollo de la Educación Superior,"FODESEP contribuye al fortalecimiento de las instituciones de educación superior colombianas mediante programas, servicios e iniciativas orientadas al desarrollo y sostenibilidad del sector.","FODESEP contributes to strengthening Colombian higher education institutions through programs, services, and initiatives aimed at the development and sustainability of the sector.","FODESEP contribue au renforcement des établissements colombiens d’enseignement supérieur grâce à des programmes, des services et des initiatives visant le développement et la durabilité du secteur.","O FODESEP contribui para o fortalecimento das instituições colombianas de ensino superior por meio de programas, serviços e iniciativas voltados ao desenvolvimento e à sustentabilidade do setor.",,,South America,TRUE
CO,Colombia,Colombia,Colombie,Colômbia,RECLA - Red de Educación Continua de Latinoamérica y Europa,"RECLA promueve la educación continua y el aprendizaje a lo largo de la vida mediante la cooperación, el intercambio de experiencias y el desarrollo de iniciativas entre instituciones de América Latina y Europa.","RECLA promotes continuing education and lifelong learning through cooperation, the exchange of experiences, and the development of initiatives among institutions in Latin America and Europe.","RECLA favorise la formation continue et l’apprentissage tout au long de la vie grâce à la coopération, à l’échange d’expériences et au développement d’initiatives entre des établissements d’Amérique latine et d’Europe.","A RECLA promove a educação continuada e a aprendizagem ao longo da vida por meio da cooperação, do intercâmbio de experiências e do desenvolvimento de iniciativas entre instituições da América Latina e da Europa.",,,South America,TRUE
CL,Chile,Chile,Chili,Chile,Centro Interuniversitario de Desarrollo (CINDA),"El Centro Interuniversitario de Desarrollo (CINDA) es una red académica internacional que promueve la cooperación entre universidades, el intercambio de experiencias y el desarrollo de iniciativas orientadas al mejoramiento de la educación superior.","The Interuniversity Development Center (CINDA) is an international academic network that promotes cooperation among universities, the exchange of experiences, and the development of initiatives aimed at improving higher education.","Le Centre interuniversitaire de développement (CINDA) est un réseau académique international qui favorise la coopération entre les universités, l’échange d’expériences et le développement d’initiatives visant à améliorer l’enseignement supérieur.","O Centro Interuniversitário de Desenvolvimento (CINDA) é uma rede acadêmica internacional que promove a cooperação entre universidades, o intercâmbio de experiências e o desenvolvimento de iniciativas voltadas à melhoria do ensino superior.",,,South America,TRUE
EC,Ecuador,Ecuador,Équateur,Equador,"Secretaría de Educación Superior, Ciencia, Tecnología e Innovación (SENESCYT)","La Secretaría de Educación Superior, Ciencia, Tecnología e Innovación (SENESCYT) es la entidad ecuatoriana encargada de impulsar y coordinar políticas públicas relacionadas con la educación superior, la ciencia, la tecnología y la innovación.","The Secretariat of Higher Education, Science, Technology and Innovation (SENESCYT) is Ecuador’s public institution responsible for promoting and coordinating policies related to higher education, science, technology and innovation.","Le Secrétariat à l’enseignement supérieur, à la science, à la technologie et à l’innovation (SENESCYT) est l’institution équatorienne chargée de promouvoir et de coordonner les politiques publiques relatives à l’enseignement supérieur, à la science, à la technologie et à l’innovation.","A Secretaria de Educação Superior, Ciência, Tecnologia e Inovação (SENESCYT) é a instituição equatoriana responsável por promover e coordenar políticas públicas relacionadas ao ensino superior, à ciência, à tecnologia e à inovação.",,,South America,TRUE
AR,Argentina,Argentina,Argentine,Argentina,Red de Cooperación Interuniversitaria para el Desarrollo e Integración Regional (CIDIR),La Red de Cooperación Interuniversitaria para el Desarrollo e Integración Regional (CIDIR) promueve la cooperación entre instituciones universitarias y el desarrollo de iniciativas conjuntas orientadas a la integración regional y al fortalecimiento de la educación superior.,The Interuniversity Cooperation Network for Regional Development and Integration (CIDIR) promotes cooperation among university institutions and the development of joint initiatives aimed at regional integration and strengthening higher education.,Le Réseau de coopération interuniversitaire pour le développement et l’intégration régionale (CIDIR) favorise la coopération entre les établissements universitaires et le développement d’initiatives conjointes visant l’intégration régionale et le renforcement de l’enseignement supérieur.,A Rede de Cooperação Interuniversitária para o Desenvolvimento e a Integração Regional (CIDIR) promove a cooperação entre instituições universitárias e o desenvolvimento de iniciativas conjuntas voltadas à integração regional e ao fortalecimento do ensino superior.,,,South America,TRUE
